"","Xiphosura clade score","Bellinurina clade score","Limulina clade score","Paleolimulidea clade score","Austrolimulidae clade score","Limulidae clade score"
"Matrix 461d",-0.0287037037037037,0.128571428571429,-0.0833333333333333,-0.2625,-0.00555555555555556,-0.0875
"Matrix 462d",-0.087962962962963,-0.157142857142857,-0.0888888888888889,0.1125,0.0333333333333333,-0.1725
"Matrix 463d",0.0555555555555556,-0.0142857142857143,0.101388888888889,0.175,0.222222222222222,0.05
"Matrix 464d",-0.00648148148148148,0.107142857142857,0.0138888888888889,0.1,-0.1,0.0325
"Matrix 465d",0.128703703703704,0.164285714285714,0.120833333333333,0.2125,0.1,0.1175
"Matrix 466d",-0.00277777777777778,0.0357142857142857,-0.00416666666666667,-0.1125,0.0222222222222222,0.015
"Matrix 467d",-0.0333333333333333,-0.0785714285714286,-0.0291666666666667,-0.025,-3.08395284618099e-18,-0.0525
"Matrix 468d",0.103703703703704,0.171428571428571,0.101388888888889,0.1125,0.138888888888889,0.0775
"Matrix 469d",0.0564814814814815,0.257142857142857,-0.0111111111111111,0.1,-0.166666666666667,0.025
"Matrix 470d",0.0388888888888889,0.0857142857142857,0.0263888888888889,0,0.205555555555556,-0.025
"Matrix 471d",-0.0509259259259259,-0.207142857142857,0.00277777777777778,-0.1,-0.144444444444444,0.0925
"Matrix 472d",-0.0416666666666667,0.05,-0.0180555555555556,-0.1125,-0.0888888888888889,0.035
"Matrix 473d",0.0805555555555556,0.157142857142857,0.0652777777777778,0.0875,0.111111111111111,0.05
"Matrix 474d",0.0462962962962963,-0.0142857142857143,0.0722222222222222,0.125,0.161111111111111,0.0375
"Matrix 475d",-0.00462962962962963,0.00714285714285714,0.0111111111111111,-0.0625,0.0611111111111111,0.0125
"Matrix 476d",0.00833333333333333,-0.178571428571429,0.0541666666666667,0.1,-0.0722222222222222,0.0975
"Matrix 477d",-0.0833333333333333,0.0785714285714286,-0.127777777777778,-0.1375,-0.172222222222222,-0.1425
"Matrix 478d",-0.0648148148148148,0.0857142857142857,-0.0888888888888889,0.0125,-0.0333333333333333,-0.1475
"Matrix 479d",-0.087962962962963,-0.214285714285714,-0.0208333333333333,-0.15,-0.0666666666666667,0.055
"Matrix 480d",0.0907407407407407,0.0857142857142857,0.0833333333333333,0.2125,0.161111111111111,0.005
