"","group","species","Matrix 461d","Matrix 462d","Matrix 463d","Matrix 464d","Matrix 465d","Matrix 466d","Matrix 467d","Matrix 468d","Matrix 469d","Matrix 470d","Matrix 471d","Matrix 472d","Matrix 473d","Matrix 474d","Matrix 475d","Matrix 476d","Matrix 477d","Matrix 478d","Matrix 479d","Matrix 480d"
"1","Xiphosura","Lunataspis_aurora",0,0,0,-0.15,0.25,0,-0.1,0.05,0,-0.05,0,-0.2,0,-0.05,-0.2,-0.05,-0.05,-0.1,-0.15,-0.05
"2","Xiphosura","Kasibelinurus_amicorum",0.1,0.1,0,0,0.25,0.1,-0.25,0.15,0.2,0,-0.1,-0.2,0.05,-0.05,-0.2,-0.05,0.05,-0.1,-0.15,0.05
"3","Xiphosura","Kasibelinurus_randalli",0.05,0.15,-0.05,-0.15,0.1,-0.05,0,0.05,0.2,-0.05,-0.15,-0.35,0,-0.15,-0.05,0,0.15,-0.2,-0.15,0
"4","Bellinurina","Bellinurus_trilobitoides",0,-0.05,0,-0.3,0,0,-0.05,0,0.15,0.2,-0.05,-0.05,-0.15,0.05,-0.05,0.1,-0.15,0,-0.3,0.05
"5","Bellinurina","Bellinurus_bellulus",-0.1,-0.2,0.05,-0.25,0.1,-0.05,0.1,-0.1,0.05,0.15,-0.05,-0.25,0.25,-0.05,-0.1,-0.15,-0.2,-0.15,-0.15,0.15
"6","Bellinurina","Bellinurus_truemanii",0.3,0.1,-0.2,-0.15,0.1,0,0.25,0,0.1,0,-0.15,0.1,0.1,0.05,-0.1,-0.05,0.1,0,-0.15,0
"7","Bellinurina","Bellinurus_reginae",0.1,0.05,-0.2,0,-0.1,0.05,0.05,0,0.25,0,-0.2,-0.3,0.1,0,0.05,-0.05,-0.05,0,-0.15,0.15
"8","Bellinurina","Bellinurus_arcuatus",0,-0.15,0.1,-0.2,-0.05,0.05,0.05,0.15,-0.05,0.05,-0.2,-0.4,0.05,0,-0.05,0.05,-0.3,0,-0.15,0.25
"9","Bellinurina","Bellinurus_lunatus",0,-0.1,-0.05,-0.2,0.25,-0.2,-0.05,0.1,0.1,-0.15,-0.15,-0.25,0.2,0.1,-0.05,0.05,-0.05,0,-0.4,0.1
"10","Bellinurina","Euproops_danae",0.1,-0.25,-0.1,-0.05,0.15,-0.05,-0.15,0.2,0.3,0.25,0.05,-0.15,0.1,0.15,0.05,0.1,0,-0.2,-0.4,0.25
"11","Bellinurina","Euproops_sp",0,-0.1,-0.1,-0.15,0.4,-0.1,-0.05,0.15,0.35,0.15,-0.4,0.1,0.2,-0.05,0,-0.2,0.05,-0.15,-0.35,0.35
